player_id,first_name,last_name,age,nation,mp,starts,Mt,full_match,goals,assist,pos
1,Allison,Becker,31,BRA,21,21,1890,21,0,0,GK
2,Virgil,Van Dijk,32,NED,23,23,2007,22,1,2,DF
3,Mohamed,Salah,31,EGY,21,20,1786,20,15,9,FW
4,Dominik,Szoboszlai,23,HUN,21,20,1657,18,3,2,MF
5,Trent,Alexander-Arnold,25,ENG,21,19,1622,18,2,4,DF
6,Luis,Diaz,27,COL,24,19,1568,17,5,3,FW
7,Alexis,Mac Allister,25,ARG,20,19,1541,17,2,1,MF
8,Darwin,Nunez,24,URU,24,16,1465,16,9,7,FW
9,Ibrahima,Konate,24,FRA,18,13,1242,14,0,0,DF
10,Diogo,Jota,27,POR,19,13,1047,12,9,3,FW
11,Curtis,Jones,23,ENG,17,12,956,11,1,1,MF
12,Joe,Gomez,26,ENG,21,11,1182,13,0,1,DF
13,Cody,Gakpo,24,NED,23,10,975,11,4,3,"FW,MF"
14,Andrew,Robertson,29,SCO,12,10,954,11,1,0,DF
15,Wataru,Endo,31,JPN,17,10,883,10,1,0,MF
16,Joel,Matip,32,CMR,10,9,781,9,0,0,DF
17,Ryan,Gravenberch,21,NED,18,8,768,9,0,0,MF
18,Kostas,Tsimikas,27,GRE,11,8,665,7,0,3,DF
19,Caoimhin,Kelleher,25,IRL,4,4,360,4,0,0,GK
20,Jarell,Quansah,21,ENG,7,4,353,4,0,0,DF
21,Harvey,Elliott,20,ENG,21,3,583,7,1,2,"MF,FW"
22,Conor,Bradley,20,NIR,3,3,231,3,1,3,DF
23,Bobby,Clark,19,ENG,3,0,17,0,0,0,MF
24,Ben,Doak,18,SCO,1,0,14,0,0,0,FW
25,Owen,Beck,21,WAL,1,0,8,0,0,0,DF
26,Thiago,Alcantara,32,ESP,1,0,6,0,0,0,MF
27,James,McConell,19,ENG,2,0,2,0,0,0,MF
28,Kaide,Gordon,19,ENG,1,0,1,0,0,0,FW
29,Adrian,Castillo,37,ESP,0,0,0,0,0,0,GK
30,Stefan,Bajcetic,19,ESP,0,0,0,0,0,0,DF
31,Luke,Chambers,19,ENG,0,0,0,0,0,0,DF
32,Lewis,Koumas,18,WAL,0,0,0,0,0,0,MF
33,Fabian,Mrozek,20,POL,0,0,0,0,0,0,GK
34,Trey,Nyoni,16,ENG,0,0,0,0,0,0,MF
35,Marcelo,Pitaluga,21,BRA,0,0,0,0,0,0,GK
36,Calum,Scanlon,19,ENG,0,0,0,0,0,0,MF